system:index,LAI,NDVI,SoilMoisture,VH,VV,VV_VH_diff,date,.geo
0,,,,-20.67642971480371,-11.22824656194608,9.448183152857299,2021-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,,2.4560562397661583,-19.05860016596843,-10.469682397519295,8.588917768449262,2021-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,,,-20.836436283591095,-10.840633701130969,9.995802582460545,2021-04-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,,2.640064889001676,-19.222000322118056,-10.504262976719662,8.717737345398433,2021-04-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,,,-19.149549774097476,-8.260449228565522,10.889100545531903,2021-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,,3.4534753608533917,-19.99627750865374,-10.333992873554378,9.662284635099763,2021-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,,,-20.691820769975944,-9.286522232689581,11.4052985372862,2021-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,,3.6708276096187875,-21.681232405696488,-11.301030348106101,10.380202057590425,2021-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,,,-20.495509491962373,-8.5712832829348,11.924226209027193,2021-05-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,,2.8255281745751137,-22.332050095102556,-12.336381699154117,9.995668395948162,2021-05-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,,,-18.077875898436552,-7.460648937790516,10.61722696064595,2021-06-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,,4.578706070282282,-21.94111257247095,-11.831448571522612,10.109664000948188,2021-06-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,,,-17.299031716201352,-6.639414830755521,10.659616885446022,2021-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,,7.142479626309405,-22.863124236878015,-12.533845016268629,10.329279220609841,2021-06-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,,,-19.842111056779466,-8.950249020998895,10.891862035780788,2021-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,,9.530933278480884,-21.322598688125538,-11.737952058594894,9.584646629530832,2021-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,,,-19.598613770818595,-9.58098303998659,10.017630730831879,2021-07-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,,19.286166488742488,-19.331890661556873,-10.824903055314627,8.506987606242191,2021-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,,,-16.01971911282525,-6.569574459684198,9.45014465314134,2021-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,,15.962797704201153,-18.55409704509457,-10.798045635243623,7.756051409851348,2021-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,,,-16.78062912388041,-8.657884960412263,8.122744163468333,2021-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,,15.090298212126056,-17.958456037444623,-10.4937933849389,7.464662652505847,2021-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,,,-17.148058537440154,-9.36349462262731,7.784563914812888,2021-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,,15.475805816107373,-16.898189879917098,-9.839939855857667,7.058250024059578,2021-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,,,-17.720783716882103,-9.723611804171567,7.9971719127109075,2021-08-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,,18.60072861158975,-19.16393407491569,-11.570389155965442,7.593544918950079,2021-09-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,,,-17.87319820777269,-9.281093682555994,8.592104525216687,2021-09-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,,13.81735598913715,-18.994740851139415,-11.119023483748023,7.875717367391404,2021-09-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,,,-19.16758447984943,-10.114168841649404,9.05341563820021,2021-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,,13.94813523241634,-19.78083357885577,-11.31921048331268,8.461623095543665,2021-09-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,,,-15.989873087171212,-6.357335571813003,9.63253751535831,2021-10-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,,19.150784179239512,-19.003643537461738,-9.930949303994478,9.072694233467335,2021-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,,,-19.418312868293746,-9.223879777793814,10.194433090499793,2021-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,,,13.618324212586755,-19.98805562224273,-11.374234971842398,8.613820650400257,2021-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,,,-17.50612379533,-7.826532774136023,9.67959102119403,2021-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
